8,77,77,77,77,77,77,9,32,3,23,0,12,13,14,15,0,0,5,57,57,57,4,31,31,57,57,57,57,57,57,32
31,33,57,57,57,57,57,32,32,26,23,0,35,36,37,38,0,0,28,80,80,79,27,31,31,56,57,57,57,33,57,32
31,57,57,57,57,57,57,32,32,3,23,0,58,59,60,61,69,0,51,57,57,57,50,31,31,57,57,33,57,57,57,32
31,57,57,57,57,10,57,32,32,26,23,0,81,82,83,84,23,0,74,79,79,80,73,31,54,77,77,77,77,77,77,78
77,77,77,9,57,57,57,32,32,3,23,0,46,23,23,23,23,0,46,23,23,23,72,31,8,77,77,77,77,77,77,9
57,57,57,32,57,33,57,32,32,26,23,0,0,0,0,0,0,0,0,0,0,0,49,31,31,33,57,57,57,57,57,32
57,57,57,32,57,57,57,32,32,3,23,0,0,0,0,0,0,0,0,0,0,0,72,31,31,57,57,57,57,57,57,32
57,10,57,32,77,77,77,78,32,26,23,0,0,0,0,0,0,0,0,0,0,0,49,31,31,57,57,57,57,10,57,32
57,57,57,32,32,6,57,57,57,7,23,0,12,13,14,15,0,0,0,0,0,0,17,31,31,57,57,57,57,57,57,32
57,33,57,32,32,29,80,79,79,30,23,0,35,36,37,38,0,0,0,0,0,0,40,31,31,56,57,57,57,33,57,32
57,57,57,32,32,52,57,57,57,53,23,0,58,59,60,61,69,0,0,0,0,0,63,31,31,57,57,33,57,57,57,32
77,77,77,78,32,75,80,79,80,76,23,0,81,82,83,84,23,0,0,0,0,0,86,31,54,77,77,77,77,77,77,78
77,77,77,9,32,18,23,23,23,23,23,0,46,23,23,23,23,0,0,0,0,0,16,31,31,57,57,57,57,57,57,32
57,57,57,32,32,41,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,31,31,56,57,57,57,33,57,32
57,57,57,32,32,64,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,31,31,57,57,33,57,57,57,32
57,10,57,32,32,87,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,31,54,77,77,77,77,77,77,78
57,57,57,32,32,16,23,0,0,0,0,0,12,13,14,15,12,13,14,15,0,0,5,57,57,57,4,31,8,77,77,77
57,33,57,32,32,42,23,0,0,0,0,0,35,36,37,38,35,36,37,38,0,0,28,80,80,79,27,31,31,33,57,57
57,57,57,32,32,65,23,0,0,0,0,0,58,59,60,61,58,59,60,61,69,0,51,57,57,57,50,31,31,57,57,57
77,77,77,78,32,88,23,0,0,0,0,0,81,82,83,84,81,82,83,84,23,0,74,79,79,80,73,31,31,57,57,57
8,77,77,77,77,77,77,9,32,2,0,0,46,23,23,23,23,23,23,23,23,0,46,23,23,23,72,31,31,57,57,57
31,33,57,57,57,57,57,32,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,31,31,56,57,57
31,57,57,57,57,57,57,32,32,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,31,31,57,57,33
31,57,57,57,57,10,57,32,32,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,31,54,77,77,77
